
[2021-01-29 11:26:44.433] 022634.80,,,,,0,00,99.99,,,,,177.8,*56
[2021-01-29 11:26:58.162] $GNGGA,022656.60,,,,,0,00,99.99,,,,,199.6,*52
[2021-01-29 11:26:58.266] $GNGGA,022656.70,,,,,0,00,99.99,,,,,199.7,*52
[2021-01-29 11:26:58.362] $GNGGA,022656.80,,,,,0,00,99.99,,,,,199.8,*52
[2021-01-29 11:26:58.466] $GNGGA,022656.90,,,,,0,00,99.99,,,,,199.9,*52
[2021-01-29 11:26:58.562] $GNGGA,022657.00,,,,,0,00,99.99,,,,,200.0,*50
[2021-01-29 11:26:58.666] $GNGGA,022657.10,,,,,0,00,99.99,,,,,200.1,*50
[2021-01-29 11:26:58.762] $GNGGA,022657.20,,,,,0,00,99.99,,,,,200.2,*50
[2021-01-29 11:26:58.866] $GNGGA,022657.30,,,,,0,00,99.99,,,,,200.3,*50
[2021-01-29 11:26:58.962] $GNGGA,022657.40,,,,,0,00,99.99,,,,,200.4,*50
[2021-01-29 11:26:59.066] $GNGGA,022657.50,,,,,0,00,99.99,,,,,200.5,*50
[2021-01-29 11:26:59.160] $GNGGA,022657.60,,,,,0,00,99.99,,,,,200.6,*50
[2021-01-29 11:26:59.268] $GNGGA,022657.70,,,,,0,00,99.99,,,,,200.7,*50
[2021-01-29 11:26:59.361] $GNGGA,022657.80,,,,,0,00,99.99,,,,,200.8,*50
[2021-01-29 11:26:59.455] $GNGGA,022657.90,,,,,0,00,99.99,,,,,200.9,*50
[2021-01-29 11:26:59.564] $GNGGA,022658.00,,,,,0,00,99.99,,,,,201.0,*5E
[2021-01-29 11:26:59.658] $GNGGA,022658.10,,,,,0,00,99.99,,,,,201.1,*5E
[2021-01-29 11:26:59.767] $GNGGA,022658.20,,,,,0,00,99.99,,,,,201.2,*5E
[2021-01-29 11:26:59.861] $GNGGA,022658.30,,,,,0,00,99.99,,,,,201.3,*5E
[2021-01-29 11:26:59.955] $GNGGA,022658.40,,,,,0,00,99.99,,,,,201.4,*5E
[2021-01-29 11:27:00.064] $GNGGA,022658.50,,,,,0,00,99.99,,,,,201.5,*5E
[2021-01-29 11:27:00.158] $GNGGA,022658.60,,,,,0,00,99.99,,,,,201.6,*5E
[2021-01-29 11:27:00.268] $GNGGA,022658.70,,,,,0,00,99.99,,,,,201.7,*5E
[2021-01-29 11:27:00.362] $GNGGA,022658.80,,,,,0,00,99.99,,,,,201.8,*5E
[2021-01-29 11:27:00.456] $GNGGA,022658.90,,,,,0,00,99.99,,,,,201.9,*5E
[2021-01-29 11:27:00.565] $GNGGA,022659.00,,,,,0,00,99.99,,,,,202.0,*5C
[2021-01-29 11:27:00.659] $GNGGA,022659.10,,,,,0,00,99.99,,,,,202.1,*5C
[2021-01-29 11:27:00.753] $GNGGA,022659.20,,,,,0,00,99.99,,,,,202.2,*5C
[2021-01-29 11:27:00.862] $GNGGA,022659.30,,,,,0,00,99.99,,,,,202.3,*5C
[2021-01-29 11:27:00.956] $GNGGA,022659.40,,,,,0,00,99.99,,,,,202.4,*5C
[2021-01-29 11:27:01.065] $GNGGA,022659.50,,,,,0,00,99.99,,,,,202.5,*5C
[2021-01-29 11:27:01.159] $GNGGA,022659.60,,,,,0,00,99.99,,,,,202.6,*5C
[2021-01-29 11:27:01.268] $GNGGA,022659.70,,,,,0,00,99.99,,,,,202.7,*5C
[2021-01-29 11:27:01.364] $GNGGA,022659.80,,,,,0,00,99.99,,,,,202.8,*5C
[2021-01-29 11:27:01.458] $GNGGA,022659.90,,,,,0,00,99.99,,,,,202.9,*5C
[2021-01-29 11:27:01.551] $GNGGA,022700.00,,,,,0,00,99.99,,,,,203.0,*50
[2021-01-29 11:27:01.661] $GNGGA,022700.10,,,,,0,00,99.99,,,,,203.1,*50
[2021-01-29 11:27:01.754] $GNGGA,022700.20,,,,,0,00,99.99,,,,,203.2,*50
[2021-01-29 11:27:01.864] $GNGGA,022700.30,,,,,0,00,99.99,,,,,203.3,*50
[2021-01-29 11:27:01.958] $GNGGA,022700.40,,,,,0,00,99.99,,,,,203.4,*50
[2021-01-29 11:27:02.067] $GNGGA,022700.50,,,,,0,00,99.99,,,,,203.5,*50
[2021-01-29 11:27:02.161] $GNGGA,022700.60,,,,,0,00,99.99,,,,,203.6,*50
[2021-01-29 11:27:02.262] $GNGGA,022700.70,,,,,0,00,99.99,,,,,203.7,*50
[2021-01-29 11:27:02.365] $GNGGA,022700.80,,,,,0,00,99.99,,,,,203.8,*50
[2021-01-29 11:27:02.458] $GNGGA,022700.90,,,,,0,00,99.99,,,,,203.9,*50
