,Format,Time,Latitude,LatType,Longitude,LonType,Status,Satellite,LevelAccuracy,Altitude(sea),M(sea),Altitude(geoid),M(geoid),DGPS use,checksum,Lat,Lon,UTM_X,UTM_Y
2937,[2021-01-29 11:31:39.486] $GPGGA,23138.1,4327.721707199999,N,14148.345439899998,E,4,11,0.9,107.8927,M,31.83,M,6.0,0000*5E,43.46202845333332,141.80575733166663,565181.8373635266,4812439.633361312
2938,[2021-01-29 11:31:39.596] $GPGGA,23138.2,4327.7217086,N,14148.3454429,E,4,11,0.9,107.8941,M,31.83,M,1.0,0000*5D,43.46202847666667,141.80575738166667,565181.8413832299,4812439.635991794
2939,[2021-01-29 11:31:39.689] $GPGGA,23138.3,4327.7217085,N,14148.345443200002,E,4,11,0.9,107.8932,M,31.83,M,1.0,0000*51,43.462028475000004,141.80575738666673,565181.8417895027,4812439.635810613
2940,[2021-01-29 11:31:39.799] $GPGGA,23138.4,4327.7217081,N,14148.3454419,E,4,11,0.9,107.895,M,31.83,M,1.0,0000*5F,43.46202846833333,141.805757365,565181.8400439264,4812439.635053269
2941,[2021-01-29 11:31:39.892] $GPGGA,23138.5,4327.7217087,N,14148.3454433,E,4,11,0.9,107.8937,M,31.83,M,1.0,0000*51,43.46202847833333,141.80575738833338,565181.8419207466,4812439.636182109
2942,[2021-01-29 11:31:39.986] $GPGGA,23138.6,4327.7217086,N,14148.345443200002,E,4,11,0.9,107.8936,M,31.83,M,1.0,0000*53,43.46202847666667,141.80575738666673,565181.841787712,4812439.635995708
2943,[2021-01-29 11:31:40.080] $GPGGA,23138.7,4327.721707899999,N,14148.345443,E,4,11,0.9,107.8936,M,31.83,M,1.0,0000*50,43.462028464999996,141.80575738333332,565181.84153059,4812439.634697423
2944,[2021-01-29 11:31:40.189] $GPGGA,23138.8,4327.7217081,N,14148.3454437,E,4,11,0.9,107.8938,M,31.83,M,1.0,0000*51,43.46202846833333,141.805757395,565181.8424707897,4812439.635076747
2945,[2021-01-29 11:31:40.286] $GPGGA,23138.9,4327.721709,N,14148.345443,E,4,11,0.9,107.8935,M,31.83,M,1.0,0000*5A,43.462028483333334,141.80575738333332,565181.8415108926,4812439.636733485
2946,[2021-01-29 11:31:40.395] $GPGGA,23139.0,4327.721708399999,N,14148.3454428,E,4,11,0.9,107.8931,M,31.83,M,2.0,0000*59,43.46202847333332,141.80575738000002,565181.8412519881,4812439.635620296
2947,[2021-01-29 11:31:40.489] $GPGGA,23139.1,4327.7217082,N,14148.345444100001,E,4,11,0.9,107.8942,M,31.83,M,2.0,0000*55,43.46202847,141.8057574016667,565181.8430083042,4812439.635267061
2948,[2021-01-29 11:31:40.583] $GPGGA,23139.2,4327.7217083000005,N,14148.345443,E,4,11,0.9,107.8942,M,31.83,M,2.0,0000*51,43.46202847166667,141.80575738333332,565181.8415234273,4812439.63543781
2949,[2021-01-29 11:31:40.692] $GPGGA,23139.3,4327.7217081,N,14148.345443,E,4,11,0.9,107.8947,M,31.83,M,2.0,0000*57,43.46202846833333,141.80575738333332,565181.8415270087,4812439.635067617
2950,[2021-01-29 11:31:40.786] $GPGGA,23139.4,4327.7217082,N,14148.345444,E,4,11,0.9,107.8967,M,31.83,M,2.0,0000*56,43.46202847,141.8057574,565181.8428734769,4812439.635265757
2951,[2021-01-29 11:31:40.895] $GPGGA,23139.5,4327.7217078,N,14148.345443900002,E,4,11,0.9,107.8964,M,31.83,M,2.0,0000*5F,43.46202846333335,141.80575739833336,565181.8427458144,4812439.634524069
2952,[2021-01-29 11:31:40.989] $GPGGA,23139.6,4327.7217087,N,14148.3454442,E,4,11,0.9,107.8954,M,31.83,M,2.0,0000*53,43.46202847833333,141.80575740333336,565181.8431341762,4812439.636193848
2953,[2021-01-29 11:31:41.098] $GPGGA,23139.7,4327.7217087,N,14148.345444100001,E,4,11,0.9,107.8956,M,31.83,M,2.0,0000*53,43.46202847833333,141.8057574016667,565181.8429993509,4812439.636192543
2954,[2021-01-29 11:31:41.192] $GPGGA,23139.8,4327.721707899999,N,14148.345444499999,E,4,11,0.9,107.8977,M,31.83,M,2.0,0000*5A,43.462028464999996,141.8057574083333,565181.8435529734,4812439.634716989
2955,[2021-01-29 11:31:41.302] $GPGGA,23139.9,4327.7217083000005,N,14148.3454447,E,4,11,0.9,107.897,M,31.83,M,2.0,0000*5B,43.46202847166667,141.8057574116667,565181.8438154673,4812439.635459984
2956,[2021-01-29 11:31:41.396] $GPGGA,23140.0,4327.7217081,N,14148.345444,E,4,11,0.9,107.8947,M,31.83,M,3.0,0000*5C,43.46202846833333,141.8057574,565181.8428752676,4812439.63508066
2957,[2021-01-29 11:31:41.490] $GPGGA,23140.1,4327.7217082,N,14148.3454443,E,4,11,0.9,107.8951,M,31.83,M,3.0,0000*5A,43.46202847,141.805757405,565181.8432779528,4812439.635269671
2958,[2021-01-29 11:31:41.583] $GPGGA,23140.2,4327.721707899999,N,14148.3454442,E,4,11,0.9,107.8952,M,31.83,M,3.0,0000*5F,43.462028464999996,141.80575740333336,565181.8431485016,4812439.634713075
2959,[2021-01-29 11:31:41.693] $GPGGA,23140.3,4327.7217078,N,14148.345444600001,E,4,11,0.9,107.8974,M,31.83,M,3.0,0000*5F,43.46202846333335,141.80575741000004,565181.8436895955,4812439.6345331995
2960,[2021-01-29 11:31:41.787] $GPGGA,23140.4,4327.7217081,N,14148.3454456,E,4,11,0.9,107.8975,M,31.83,M,3.0,0000*5E,43.46202846833333,141.80575742666667,565181.8450324783,4812439.63510153
